[1550, 1698][0, 0, 0]
[1550, 1699][0, 0, 0]
[1550, 1700][0, 0, 0]
[1550, 1701][0, 0, 0]
[1550, 1702][0, 0, 0]
[1550, 1703][0, 0, 0]
[1550, 1704][0, 0, 0]
[1550, 1705][0, 0, 0]
[1550, 1706][0, 0, 0]
[1550, 1707][0, 0, 0]
[1550, 1708][0, 0, 0]
[1550, 1709][0, 0, 0]
[1550, 1710][0, 0, 0]
[1550, 1711][0, 0, 0]
[1550, 1712][0, 0, 0]
[1550, 1713][0, 0, 0]
[1550, 1714][0, 0, 0]
[1551, 1684][0, 0, 0]
[1551, 1685][0, 0, 0]
[1551, 1686][0, 0, 0]
[1551, 1687][0, 0, 0]
[1551, 1688][0, 0, 0]
[1551, 1689][0, 0, 0]
[1551, 1690][0, 0, 0]
[1551, 1691][0, 0, 0]
[1551, 1692][0, 0, 0]
[1551, 1693][0, 0, 0]
[1551, 1694][0, 0, 0]
[1551, 1695][0, 0, 0]
[1551, 1696][0, 0, 0]
[1551, 1697][0, 0, 0]
